Action 4732324 : 0.0 s (cum. time 128.7761 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732325 : 0.0 s (cum. time 128.7761 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732326 : 0.0 s (cum. time 128.7761 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732327 : 0.0 s (cum. time 128.7761 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732328 : 0.0 s (cum. time 128.7761 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732329 : 0.0 s (cum. time 128.7761 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732330 : 0.0 s (cum. time 128.7761 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732331 : 0.0 s (cum. time 128.7761 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732332 : 0.0 s (cum. time 128.7761 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732333 : 0.0 s (cum. time 128.7762 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732334 : 0.0 s (cum. time 128.7762 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732335 : 0.0 s (cum. time 128.7762 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732336 : 0.0 s (cum. time 128.7762 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732337 : 0.0 s (cum. time 128.7762 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732338 : 0.0 s (cum. time 128.7762 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732339 : 0.0 s (cum. time 128.7762 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732340 : 0.0 s (cum. time 128.7762 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732341 : 0.0 s (cum. time 128.7762 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732342 : 0.0 s (cum. time 128.7762 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732343 : 0.0 s (cum. time 128.7762 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732344 : 0.0 s (cum. time 128.7763 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732345 : 0.0 s (cum. time 128.7763 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732346 : 0.0 s (cum. time 128.7763 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732347 : 0.0 s (cum. time 128.7763 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732348 : 0.0 s (cum. time 128.7763 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732349 : 0.0 s (cum. time 128.7763 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732350 : 0.0 s (cum. time 128.7763 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732351 : 0.0 s (cum. time 128.7763 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732352 : 0.0 s (cum. time 128.7763 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732353 : 0.0 s (cum. time 128.7763 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732354 : 0.0 s (cum. time 128.7763 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732355 : 0.0 s (cum. time 128.7764 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732356 : 0.0 s (cum. time 128.7764 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732357 : 0.0 s (cum. time 128.7764 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732358 : 0.0 s (cum. time 128.7764 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732359 : 0.0 s (cum. time 128.7764 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732360 : 0.0 s (cum. time 128.7764 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732361 : 0.0 s (cum. time 128.7764 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732362 : 0.0 s (cum. time 128.7764 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732363 : 0.0 s (cum. time 128.7764 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732364 : 0.0 s (cum. time 128.7764 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732365 : 0.0 s (cum. time 128.7764 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732366 : 0.0 s (cum. time 128.7764 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732367 : 0.0 s (cum. time 128.7765 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732368 : 0.0 s (cum. time 128.7765 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732369 : 0.0 s (cum. time 128.7765 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732370 : 0.0 s (cum. time 128.7765 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732371 : 0.0 s (cum. time 128.7765 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732372 : 0.0 s (cum. time 128.7765 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732373 : 0.0 s (cum. time 128.7765 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732374 : 0.0 s (cum. time 128.7765 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732375 : 0.0 s (cum. time 128.7765 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732376 : 0.0 s (cum. time 128.7765 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732377 : 0.0 s (cum. time 128.7765 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
